Name,Team,Position,PositionExp,PositionGrp,Side,Age,Height,Weight,Years,Playtime,College,Jersey
A.Q. Shipley,Arizona,C,Center,Offensive Line,Offense,30,73,307,5,5-8 Yrs,Penn State,53
Evan Boehm,Arizona,C,Center,Offensive Line,Offense,22,74,309,0,Rookie,Missouri,77
Taylor Boggs,Arizona,C,Center,Offensive Line,Offense,29,75,302,4,1-4 Yrs,Humboldt State,65
Justin Bethel,Arizona,CB,Cornerback,Defensive Back,Defense,26,72,200,5,5-8 Yrs,Presbyterian College,28
Harlan Miller,Arizona,CB,Cornerback,Defensive Back,Defense,22,72,182,0,Rookie,Southeastern Louisiana,1
Cariel Brooks,Arizona,CB,Cornerback,Defensive Back,Defense,25,69,200,2,1-4 Yrs,Adams State,35
Mike Jenkins,Arizona,CB,Cornerback,Defensive Back,Defense,31,70,197,9,9-12 Yrs,South Florida,43
Jerraud Powers,Arizona,CB,Cornerback,Defensive Back,Defense,29,70,187,8,5-8 Yrs,Auburn,25
Asa Jackson,Arizona,CB,Cornerback,Defensive Back,Defense,26,70,183,4,1-4 Yrs,Cal Poly,46
Shaun Prater,Arizona,CB,Cornerback,Defensive Back,Defense,26,70,190,4,1-4 Yrs,Iowa,39
Ronald Zamort,Arizona,CB,Cornerback,Defensive Back,Defense,24,70,174,0,Rookie,Western Michigan,NA
Brandon Williams,Arizona,CB,Cornerback,Defensive Back,Defense,23,71,197,0,Rookie,Texas A&M,21
Elie Bouka,Arizona,CB,Cornerback,Defensive Back,Defense,NA,73,205,0,Rookie,NA,NA
Patrick Peterson,Arizona,CB,Cornerback,Defensive Back,Defense,26,73,219,6,5-8 Yrs,LSU,21
Trevon Hartfield,Arizona,CB,Cornerback,Defensive Back,Defense,NA,74,195,0,Rookie,Southwestern Oklahoma,NA
Chandler Jones,Arizona,DE,Defensive End,Front Seven,Defense,26,77,265,5,5-8 Yrs,Syracuse,55
